Profil,SNR,Gamma,Overhead,NMSE
LOS (CDL-D),1,1/4,4096,-14.320960470574
LOS (CDL-D),3,1/4,4096,-14.7106294870657
LOS (CDL-D),5,1/4,4096,-14.8863672643113
LOS (CDL-D),7,1/4,4096,-14.961197714381
LOS (CDL-D),9,1/4,4096,-14.9880207151418
LOS (CDL-D),11,1/4,4096,-14.9962071368809
LOS (CDL-D),13,1/4,4096,-14.994850021988
LOS (CDL-D),15,1/4,4096,-14.9904847266924
LOS (CDL-D),17,1/4,4096,-14.9863155561139
LOS (CDL-D),19,1/4,4096,-14.9825230598905
LOS (CDL-D),21,1/4,4096,-14.9791472400456
LOS (CDL-D),23,1/4,4096,-14.977177079853
LOS (CDL-D),25,1/4,4096,-14.9755400315157
LOS (CDL-D),27,1/4,4096,-14.9746929310976
LOS (CDL-D),29,1/4,4096,-14.974094513781
NLOS (CDL-A),1,1/4,4096,-13.9981727674449
NLOS (CDL-A),3,1/4,4096,-14.4477530355732
NLOS (CDL-A),5,1/8,2048,-12.1300633186884
NLOS (CDL-A),7,1/8,2048,-12.1938199720064
NLOS (CDL-A),9,1/8,2048,-12.2167865611049
NLOS (CDL-A),11,1/8,2048,-12.2223980044541
NLOS (CDL-A),13,1/8,2048,-12.2203213267102
NLOS (CDL-A),15,1/8,2048,-12.2133578438272
NLOS (CDL-A),17,1/8,2048,-12.2069738904628
NLOS (CDL-A),19,1/8,2048,-12.2013618198547
NLOS (CDL-A),21,1/8,2048,-12.1967627693131
NLOS (CDL-A),23,1/8,2048,-12.1936641445482
NLOS (CDL-A),25,1/8,2048,-12.1912873859506
NLOS (CDL-A),27,1/8,2048,-12.1898729010429
NLOS (CDL-A),29,1/8,2048,-12.1888197780251
