Profil,SNR_dB,Gamma,Mc,Overhead_bits,NMSE_dB
LOS (CDL-D),1,1/4,512,4096,-14.3229431639623
LOS (CDL-D),3,1/4,512,4096,-14.7095357864418
LOS (CDL-D),5,1/8,256,2048,-11.6993098473369
LOS (CDL-D),7,1/8,256,2048,-11.7752195427269
LOS (CDL-D),9,1/8,256,2048,-11.8085060066189
LOS (CDL-D),11,1/8,256,2048,-11.8185527541776
LOS (CDL-D),13,1/8,256,2048,-11.8192762701474
LOS (CDL-D),15,1/16,128,1024,-10.9938861365995
LOS (CDL-D),17,1/16,128,1024,-10.997061721773
LOS (CDL-D),19,1/16,128,1024,-10.9995431592942
LOS (CDL-D),21,1/16,128,1024,-11.001355559266
LOS (CDL-D),23,1/16,128,1024,-11.0025918677153
LOS (CDL-D),25,1/16,128,1024,-11.003464231071
LOS (CDL-D),27,1/16,128,1024,-11.0040866122678
LOS (CDL-D),29,1/16,128,1024,-11.0045030364874
NLOS (CDL-A),1,1/4,512,4096,-13.9995286728767
NLOS (CDL-A),3,1/4,512,4096,-14.4458093399684
NLOS (CDL-A),5,1/4,512,4096,-14.6623887282656
NLOS (CDL-A),7,1/4,512,4096,-14.7589192160318
NLOS (CDL-A),9,1/4,512,4096,-14.8020999078577
NLOS (CDL-A),11,1/4,512,4096,-14.8181602873695
NLOS (CDL-A),13,1/4,512,4096,-14.8235604841525
NLOS (CDL-A),15,1/4,512,4096,-14.8234067813171
NLOS (CDL-A),17,1/4,512,4096,-14.821981905288
NLOS (CDL-A),19,1/4,512,4096,-14.8200488606456
NLOS (CDL-A),21,1/8,256,2048,-12.1969144423107
NLOS (CDL-A),23,1/8,256,2048,-12.1938556030265
NLOS (CDL-A),25,1/8,256,2048,-12.1913696409476
NLOS (CDL-A),27,1/8,256,2048,-12.1899133327018
NLOS (CDL-A),29,1/8,256,2048,-12.1887329283023
